F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
5 S     0   851     1  0  80   0 -  4868 -      ?        00:00:01 irqbalance
4 S     0   870     1  0  80   0 - 76085 -      ?        00:00:00 polkitd
4 S     0   897     1  0  80   0 - 73049 -      ?        00:00:00 lightdm
4 S     0   905   897  2  80   0 - 145606 -     tty7     00:08:38 Xorg
4 S     0   989   897  0  80   0 - 57576 -      ?        00:00:00 lightdm
4 S   118  1028     1  0  81   1 - 45886 -      ?        00:00:00 rtkit-daemon
4 S     0  1058   797  0  80   0 -  4031 -      ?        00:00:00 dhclient
4 S     0  1075     1  0  80   0 - 88536 -      ?        00:00:00 upowerd
4 S   113  1093     1  0  80   0 - 80132 -      ?        00:00:00 colord
4 S  1000  1109     1  0  80   0 - 11319 ep_pol ?        00:00:00 systemd
5 S  1000  1110  1109  0  80   0 - 15870 -      ?        00:00:00 (sd-pam)
1 S  1000  1124     1  0  80   0 - 53103 -      ?        00:00:00 gnome-keyring-d
4 S  1000  1126   989  0  80   0 - 13383 poll_s ?        00:00:00 upstart
1 S  1000  1205  1126  0  80   0 -  9982 poll_s ?        00:00:00 upstart-udev-br
1 S  1000  1216  1126  0  80   0 - 10990 ep_pol ?        00:00:01 dbus-daemon
0 S  1000  1228  1126  0  80   0 - 23353 poll_s ?        00:00:00 window-stack-br
1 S  1000  1255  1126  0  80   0 - 91656 poll_s ?        00:00:26 ibus-daemon
0 S  1000  1260  1126  0  80   0 - 70396 poll_s ?        00:00:00 gvfsd
0 S  1000  1265  1126  0  80   0 - 104991 futex_ ?       00:00:00 gvfsd-fuse
0 S  1000  1277  1255  0  80   0 - 71172 poll_s ?        00:00:00 ibus-dconf
0 S  1000  1278  1255  0  80   0 - 121696 poll_s ?       00:00:04 ibus-ui-gtk3
0 S  1000  1280  1126  0  80   0 - 109242 poll_s ?       00:00:00 ibus-x11
0 S  1000  1292  1126  0  80   0 - 88453 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000  1297  1292  0  80   0 - 10755 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1299  1126  0  80   0 - 51742 poll_s ?        00:00:02 at-spi2-registr
0 S  1000  1321  1255  0  80   0 - 52204 poll_s ?        00:00:08 ibus-engine-sim
1 S  1000  1329  1126  0  80   0 -  9991 poll_s ?        00:00:00 upstart-dbus-br
1 S  1000  1331  1126  0  80   0 -  9965 poll_s ?        00:00:00 upstart-dbus-br
1 S  1000  1335  1126  0  80   0 - 12121 poll_s ?        00:00:00 upstart-file-br
0 S  1000  1344  1126  0  80   0 - 133379 poll_s ?       00:00:03 bamfdaemon
1 S  1000  1349  1126  0  80   0 - 43401 -      ?        00:00:00 gpg-agent
0 S  1000  1375  1126  0  80   0 - 164699 poll_s ?       00:00:02 hud-service
0 S  1000  1377  1126  0  80   0 - 234243 poll_s ?       00:00:00 unity-settings-
0 S  1000  1388  1126  0  80   0 - 142258 poll_s ?       00:00:00 gnome-session-b
0 S  1000  1400  1126  0  80   0 - 163600 poll_s ?       00:00:03 unity-panel-ser
1 S  1000  1434  1126  0  69 -11 - 110509 poll_s ?       00:00:01 pulseaudio
0 S  1000  1437  1126  0  80   0 - 94290 poll_s ?        00:00:00 indicator-messa
0 S  1000  1438  1126  0  80   0 - 89064 poll_s ?        00:00:00 indicator-bluet
0 S  1000  1439  1126  0  80   0 - 112129 poll_s ?       00:00:00 indicator-power
0 S  1000  1441  1126  0  80   0 - 311685 poll_s ?       00:00:00 indicator-datet
0 S  1000  1443  1126  0  80   0 - 164568 poll_s ?       00:00:00 indicator-keybo
0 S  1000  1444  1126  0  80   0 - 191211 poll_s ?       00:00:00 indicator-sound
0 S  1000  1445  1126  0  80   0 - 139119 poll_s ?       00:00:00 indicator-print
0 S  1000  1451  1126  0  80   0 - 193617 poll_s ?       00:00:00 indicator-sessi
0 S  1000  1460  1126  0  80   0 - 119220 poll_s ?       00:00:00 indicator-appli
0 S  1000  1517  1126  0  80   0 - 296665 poll_s ?       00:00:00 evolution-sourc
0 S  1000  1527  1126  0  80   0 - 44695 poll_s ?        00:00:00 dconf-service
0 S  1000  1533  1126  0  80   0 - 219219 poll_s ?       00:00:00 evolution-calen
0 S  1000  1553  1126 16  80   0 - 462586 poll_s ?       01:05:27 compiz
0 S  1000  1569  1533  0  80   0 - 207440 poll_s ?       00:00:00 evolution-calen
0 S  1000  1579  1126  0  80   0 - 176092 poll_s ?       00:00:00 evolution-addre
0 S  1000  1581  1533  0  80   0 - 269071 poll_s ?       00:00:00 evolution-calen
0 S  1000  1588  1579  0  80   0 - 194962 poll_s ?       00:00:00 evolution-addre
0 S  1000  1620  1126  0  80   0 - 75862 poll_s ?        00:00:00 gvfs-udisks2-vo
4 S     0  1623     1  0  80   0 - 95603 -      ?        00:00:02 udisksd
0 S  1000  1631  1126  0  80   0 - 102668 poll_s ?       00:00:00 gvfs-afc-volume
0 S  1000  1637  1126  0  80   0 - 66149 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1000  1642  1126  0  80   0 - 69696 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000  1663  1126  0  80   0 - 66647 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1000  1672  1126  0  80   0 - 228045 poll_s ?       00:00:08 nautilus
0 S  1000  1674  1126  0  80   0 - 92749 poll_s ?        00:00:00 gvfsd-trash
0 S  1000  1688  1126  0  80   0 - 48284 poll_s ?        00:00:00 gvfsd-metadata
0 S  1000  1705  1388  0  80   0 - 151719 poll_s ?       00:00:00 nm-applet
0 S  1000  1709  1388  0  80   0 - 109663 poll_s ?       00:00:00 polkit-gnome-au
0 S  1000  1715  1388  0  80   0 - 343581 poll_s ?       00:00:02 gnome-software
0 S  1000  1716  1388  0  80   0 - 145997 poll_s ?       00:00:00 unity-fallback-
4 S     0  1743     1  0  80   0 - 158827 -     ?        00:00:00 fwupd
4 S 65534  1760   797  0  80   0 - 14983 -      ?        00:00:00 dnsmasq
4 S   109  1804     1  0  80   0 - 113049 -     ?        00:00:00 whoopsie
4 S     0  1815     1  0  80   0 -  5751 -      tty1     00:00:00 agetty
0 S  1000  1840  1126  0  80   0 - 124603 poll_s ?       00:00:00 notify-osd
0 S  1000  2094  1388  0  80   0 - 165560 poll_s ?       00:00:00 zeitgeist-datah
0 S  1000  2111  1126  0  80   0 -  1126 wait   ?        00:00:00 sh
0 S  1000  2221  2111  0  80   0 - 105913 poll_s ?       00:00:00 zeitgeist-daemo
0 S  1000  2228  1126  0  80   0 - 80717 poll_s ?        00:00:00 zeitgeist-fts
0 S  1000  2313  1388  0  80   0 - 133322 poll_s ?       00:00:00 update-notifier
0 S  1000  2354  1388  0  80   0 - 112094 poll_s ?       00:00:00 deja-dup-monito
0 S  1000  2415  1126  0  80   0 - 163515 poll_s ?       00:00:00 unity-scope-hom
0 S  1000  2426  1126  0  80   0 - 164240 poll_s ?       00:00:00 unity-scope-loa
0 S  1000  2428  1126  0  80   0 - 163522 poll_s ?       00:00:00 unity-files-dae
4 S     0  2716     1  0  80   0 - 25075 -      ?        00:00:00 cupsd
4 S     0  2717     1  0  80   0 - 69255 -      ?        00:00:00 cups-browsed
4 S     7  2718  2716  0  80   0 - 20311 -      ?        00:00:00 dbus
4 S     7  2722  2716  0  80   0 - 20311 -      ?        00:00:00 dbus
0 S  1000  4543  1126  0  80   0 - 111260 poll_s ?       00:00:00 gvfsd-network
0 S  1000  4550  1126  0  80   0 - 189622 poll_s ?       00:00:00 gvfsd-smb-brows
0 S  1000  4571  1126  0  80   0 - 110661 poll_s ?       00:00:00 gvfsd-dnssd
0 S  1000  4595  1126  0  80   0 - 171082 poll_s ?       00:00:51 gnome-terminal-
0 S  1000  4602  4595  0  80   0 -  7387 wait   pts/4    00:00:00 bash
0 S  1000  4800  4602  0  80   0 -  6341 wait   pts/4    00:00:00 man
0 S  1000  4812  4800  0  80   0 -  4181 wait_w pts/4    00:00:00 pager
0 S  1000  5053  4595  0  80   0 -  7386 wait   pts/17   00:00:00 bash
4 S  1000  6512  1126  3  80   0 - 302718 poll_s ?       00:04:17 chrome
0 S  1000  6519  6512  0  80   0 -  3628 pipe_w ?        00:00:00 cat
0 S  1000  6520  6512  0  80   0 -  3628 pipe_w ?        00:00:00 cat
4 S  1000  6523  6512  0  80   0 - 110949 wait  ?        00:00:00 chrome
4 S  1000  6524  6523  0  80   0 -  6461 skb_wa ?        00:00:00 nacl_helper
5 S  1000  6527  6523  0  80   0 - 110949 poll_s ?       00:00:00 chrome
0 S  1000  6551  6512  0  80   0 - 173896 poll_s ?       00:00:57 chrome
1 S  1000  6598  6527  0  80   0 - 200463 futex_ ?       00:00:03 chrome
1 S  1000  6708  6527  0  80   0 - 192620 futex_ ?       00:00:29 chrome
1 S  1000  6737  6527  0  80   0 - 180201 futex_ ?       00:00:00 chrome
1 S  1000  6749  6527  0  80   0 - 277331 futex_ ?       00:01:22 chrome
0 S  1000  6914  5053  0  80   0 -  6341 wait   pts/17   00:00:00 man
0 S  1000  6926  6914  0  80   0 -  4181 wait_w pts/17   00:00:00 pager
0 S  1000  6971  1126  0  80   0 - 542616 poll_s ?       00:00:16 firefox
0 S  1000  7029  6971  0  80   0 - 491833 poll_s ?       00:00:01 Web Content
0 S  1000  7082  6971  0  80   0 - 452542 poll_s ?       00:00:00 Web Content
1 S  1000  7260  6527  0  80   0 - 179451 futex_ ?       00:00:02 chrome
1 S  1000  7314  6527  0  80   0 - 186708 futex_ ?       00:00:01 chrome
1 S  1000  7328  6527  0  80   0 - 176514 futex_ ?       00:00:00 chrome
1 S  1000  7341  6527  0  80   0 - 176309 futex_ ?       00:00:00 chrome
1 S  1000  7440  6527  0  80   0 - 180719 futex_ ?       00:00:00 chrome
1 S  1000  7515  6527  0  80   0 - 184261 futex_ ?       00:00:01 chrome
1 S  1000  7531  6527  0  80   0 - 176494 futex_ ?       00:00:00 chrome
1 S  1000  7609  6527  0  80   0 - 248204 futex_ ?       00:00:33 chrome
1 S  1000  7620  6527  0  80   0 - 181211 futex_ ?       00:00:06 chrome
1 S  1000  7688  6527  0  80   0 - 189071 futex_ ?       00:00:25 chrome
